URL,工厂名称,成立时间,员工人数,资质/标签
https://www.1688.com/factory/b2b-3933428634d1924.html,深圳市佰友电子科技有限公司,2018.05.04,8人,"支持外贸订单, 清加工, 来样加工, AAA诚信等级, CCC认证, ISO 9000认证"
https://www.1688.com/factory/b2b-38940712729362b.html,抓取失败,,,
https://www.1688.com/factory/b2b-22005492856409c3ac.html,东莞市嘉际电子有限公司,2018.03.19,34人,"支持外贸订单, 东莞机械五金, 来样加工, 来图加工, 可开专票, 质量控制, AAA诚信等级, 工贸一体, CCC认证, ISO 9000认证"
https://www.1688.com/factory/b2b-2211807735036629b2.html,深圳派瑞克科技有限公司,2021.05.21,5人,"支持拿样, 支持外贸订单, AA诚信等级, 清加工, 支持来图加工, 来样加工, 可开专票, CCC认证, ISO 9000认证"
https://shop3302p839474q2.1688.com/page/creditdetail.htm?spm=a2615.27861609.wp_pc_common_topnav.0,抓取失败,,,
