产品名称,ASIN,URL,Listing月销量,实际价格( $ ),评分星级,评价数量,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,上架时间,品牌,卖家
产品名称,ASIN,,Listing月销量,实际价格( $ ),评分星级,评价数量,全部( % ),自然位( % ),品牌广告( % ),SP广告( % ),视频广告( % ),推荐( % ),上架时间,品牌,卖家
"Gym Flooring Set - Interlocking EVA Soft Foam Floor Mat, 18 Pieces Puzzle Rubber Tiles Protective Ground Surface Protection, Play Workout Exercise Mats Underlay Matting Sports Pool Home Fitness Garage",B0C9KY888B,https://www.amazon.com/dp/B0C9KY888B/?th=1,11869,31.49,4.30,19590,0.01,0,0.24,0,0,0,2023-10-10,BeMaxx,PLConcepts
"Gym Flooring Set - Interlocking EVA Soft Foam Floor Mat, 18 Pieces Puzzle Rubber Tiles Protective Ground Surface Protection, Play Workout Exercise Mats Underlay Matting Sports Pool Home Fitness Garage",B0C9KH2BJ9,https://www.amazon.com/dp/B0C9KH2BJ9/?th=1,11869,40.99,4.30,19610,0.01,0,0.24,0,0,0,2023-08-04,BeMaxx,PLConcepts
"NMNH Supplement Alternative - Liposomal NAD CORE LipoNAD 250mg - 30-Day Supply - High Purity NAD Supplement for Anti-Aging, Energy, Focus - 60 Capsules",B0DTHKJH57,https://www.amazon.com/dp/B0DTHKJH57/?th=1,11443,25.99,4.50,167,0.01,0,0.24,0,0,0,2025-01-21,Cata-Kor,Cata-Kor
"Hooga Grounding Mat for Sleep, Energy, Pain Relief, Inflammation, Balance, Wellness. Earth Connected Therapy. Indoor Grounding at Home, Office, Work. 15 Foot Cord Included. Conductive Carbon",B07VSRK68V,https://www.amazon.com/dp/B07VSRK68V/?th=1,11145,24.95,4.10,5019,1.32,0.64,0,3.21,0,0,2019-09-25,hooga,Hooga Health
"Hooga Grounding Mat for Sleep, Energy, Pain Relief, Inflammation, Balance, Wellness. Earth Connected Therapy. Indoor Grounding at Home, Office, Work. 15 Foot Cord Included. Conductive Carbon (2 Pack)",B08W29GFK5,https://www.amazon.com/dp/B08W29GFK5/?th=1,11145,54.99,4.20,1007,0.03,0,0,0.09,0,0,2021-02-05,hooga,Hooga Health
"Yoga Mat Non Slip, Eco Friendly Fitness Exercise Mat with Carrying Strap,Pro Yoga Mats for Women,Workout Mats for Home, Pilates and Floor Exercises",B07JQCVBBZ,https://www.amazon.com/dp/B07JQCVBBZ/?th=1,8858,28.99,4.50,8814,0.04,0.06,0,0,0,0,2020-03-10,Gruper,Amazon
"3ftx50ft Weed Barrier Landscape Fabric Heavy Duty，Weed Block Gardening Ground Cover Mat, Weed Control Garden Cloth ，Woven Geotextile Fabric for Underlayment，Commercial Driveway Fabric",B0BF12PW67,https://www.amazon.com/dp/B0BF12PW67/?th=1,8650,14.98,4.30,2974,0.46,0.70,0,0,0,0,2022-09-16,LGJIAOJIAO,LGJIAOJIAO
"LAVEVE 4FT x 100FT Weed Barrier Landscape Fabric, 3.2oz Premium Heavy Duty Garden Cloth, Ground Cover for Gardening, Farming with 30 U-Shaped Securing Pegs",B09VGL18TV,https://www.amazon.com/dp/B09VGL18TV/?th=1,8559,33.99,4.40,1668,0.13,0.19,0,0,0,0,2022-03-25,LAVEVE,KIP-US
"WORKPRO Extra Thick Kneeling Pad, Soft Foam Cushioning for Knee, Large Foam Kneeler Mat for Gardening, Bathing Baby, Workout Supplies, 17.5 x 11 x 1.5 in, Black",B0BVVDC3KH,https://www.amazon.com/dp/B0BVVDC3KH/?th=1,7162,15.28,4.70,1019,0.08,0.12,0,0,0,0,2023-04-19,WORKPRO,GreatStar Tools
"Rho Nutrition Liposomal Glutathione - Ultra High Absorption Liquid Glutathione Supplement - Supports Natural Detoxification, Immune System, Skin Health, Mental Clarity & Overall Well-Being",B0BQ3ZNK64,https://www.amazon.com/dp/B0BQ3ZNK64/?th=1,4468,52.95,4.20,109,0.04,0,0.72,0,0,0,2024-01-13,Rho Nutrition,Rho Nutrition
"ZALL Grey Waffle Bath Mat,Super Absorbent Non Slip Bathroom Rug,Gray 18x30inch,Machine Washable Ultra Soft Floor Mats",B0CQY767P8,https://www.amazon.com/dp/B0CQY767P8/?th=1,3820,15.84,4.30,389,0.01,0.02,0,0,0,0,2024-02-18,ZALL,Woot
"Grounding Sheets King Deep Pocket Organic Cotton With Silver Fiber, Earth Fitted Sheet With Cord (Placid Blue, King - 76'x80'x15')",B0DHTVJV9P,https://www.amazon.com/dp/B0DHTVJV9P/?th=1,2995,75.59,4.60,217,0.03,0,0.48,0,0,0,2024-11-21,PANBMAO,Health Grounding
"Grounding Sheets Queen Deep Pocket Organic Cotton with Silver Fiber, Grounding Fitted Earth Sheets with Grounding Cord (Beige, Queen - 60'x80'x15')",B0F3JDT1L8,https://www.amazon.com/dp/B0F3JDT1L8/?th=1,2995,69.59,4.70,205,0.48,0.16,5.73,0,9.80,0,2025-04-03,PANBMAO,"Junan Shengwang Co., Ltd"
"Grounding Sheets King Deep Pocket Organic Cotton with Silver Fiber, Grounding Fitted Earth Sheets with Grounding Cord (Deep Gray, King - 76“x80“x15“) Sleep Well",B0F3P3VW5L,https://www.amazon.com/dp/B0F3P3VW5L/?th=1,2995,75.59,4.70,205,0.23,0,4.30,0,0,0,2025-04-04,PANBMAO,"Junan Shengwang Co., Ltd"
"LAVEVE 3FT x 100FT Weed Barrier Landscape Fabric, 3.2oz Premium Heavy Duty Garden Cloth, Ground Cover for Gardening, Farming with 20 U-Shaped Securing Pegs",B09YTS53S8,https://www.amazon.com/dp/B09YTS53S8/?th=1,2963,28.99,4.40,837,0.05,0.08,0,0,0,0,2022-06-14,LAVEVE,KIP-US
"Nation Health MD Lymph MD - Lymphatic System Supplement with 9 Botanicals - Dandelion, Burdock, Echinacea, Lemon & More - Supplements for Men and Women - 60 Capsules",B0D5BNCPPZ,https://www.amazon.com/dp/B0D5BNCPPZ/?th=1,2723,53.90,3.80,584,0.01,0,0.24,0,0,0,2024-06-13,NATION HEALTH MD,health4y
"Clostnature Tent Footprint - Waterproof Camping Tarp, Heavy Duty Tent Floor Saver, Ultralight Ground Sheet Mat for Hiking, Backpacking, Hammock, Beach - Storage Bag Included",B07MZ3CL2N,https://www.amazon.com/dp/B07MZ3CL2N/?th=1,2660,17.99,4.60,1800,0.04,0.06,0,0,0,0,2019-03-15,Clostnature,Clostnature
"Microwave Heating Pad for Pain Relief, 17' x 9' Microwavable Heating Pads for Cramps, Back Pain, Neck Shoulder, Muscles, Knee, Joints, Natural Heat Pack Moist Heat, Black Cat",B0BCFHY2LQ,https://www.amazon.com/dp/B0BCFHY2LQ/?th=1,2363,17.69,4.70,3309,0.05,0,0,0.19,0,0,2022-08-30,Cuckool,SESDERM
"Grounding Mat for Bed, Grounding Pad for Sleeping, Tear-Resistant PU Leather Grounding Mattress with Cord (27'x76', King, Charcoal)",B0DJ26HLRB,https://www.amazon.com/dp/B0DJ26HLRB/?th=1,2112,35.99,4.40,530,0.49,0.55,0,0.46,0,0,2024-11-07,groundingx,LavenderDream
"Grounding Mat for Bed, Grounding Pad for Sleeping, Tear-Resistant PU Leather Grounding Mattress with Cord (27'x60', Queen, Charcoal)",B0F32TBHBX,https://www.amazon.com/dp/B0F32TBHBX/?th=1,2112,35.99,4.40,530,0.17,0.18,0,0.19,0,0,2025-04-01,groundingx,LavenderDream
