Cluster,avg_magnet_iq,max_magnet_iq,top_5_magnet_iq_keywords_phrases,avg_search_volume,max_search_volume,top_5_search_volume_keywords_phrases,avg_search_volume_trend,max_search_volume_trend,top_5_search_volume_trend_keywords_phrases,avg_selling_num,max_selling_num,max_competing_products,sum_cpr,avg_cpr
aromatherapy,1958.8450704225352,47000.0,"['malbella essentials', 'la jolie muse candle', 'lampara para velas aromaticas', 'lamp', 'lamparas para velas aromaticas']",3989.0985915492956,133791.0,"['lamp', 'lamps', 'flower lamp', 'vintage lamp', 'gold lamp']",58.72857142857143,3762.0,"['lamp gift', 'calentador de velas aromáticas electrico', 'candle warner lamp', 'aroma lamp', 'lamparas para velas aromaticas']",34.183098591549296,969,60000.0,1261,17.760563380281692
candle warmer,2270.156479217604,470780.0,"['candle warmer lamp', 'candle warmer lamp with timer', 'candle lamp', 'candle lamp warmer', 'lamp candle warmer']",2020.1246943765282,470780.0,"['candle warmer lamp', 'candle warmer lamp with timer', 'candle lamp', 'candle lamp warmer', 'lamp candle warmer']",46.986149584487535,3126.0,"['candle warming lamp with timer', 'heat lamp candle', 'candle warmer lamp glass shade', 'candle warmer lamp clear', 'loowoko candle warmer lamp']",28.858190709046454,2937,40000.0,5351,13.083129584352077
gift for women,60.46739130434783,1316.0,"[""gifts for women in their 60's"", 'birthday gifts for women', 'viral gifts for women', 'gender neutral gifts for adults under 25 dollars', 'adult gender neutral gifts']",2747.358695652174,132890.0,"['birthday gifts for women', 'gift for women', 'cute gifts for women', 'christmas gift for women', 'home decor gifts for women']",92.9659090909091,1430.0,"['50 gifts women', 'trending gifts for her', 'decor gifts for women', 'gifts for women home', 'gender neutral gift']",36.96739130434783,480,200000.0,1395,15.16304347826087
home decor,1994.8689655172413,140000.0,"['skjrvrh', 'yonbafld', 'diptyque', 'nancy meyers home decor', 'cozyberry']",8241.524137931034,323599.0,"['room decor', 'home decor', 'home', 'bedroom decor', 'office desk accessories']",16.46153846153846,685.0,"['cozyberry', 'pretty home decor', 'regalos para mujer navidad', 'home decor under 25', 'home gofts']",52.6551724137931,1722,300000.0,3717,25.63448275862069
house warming,217.20754716981133,4541.0,"['house warming gifts new home', 'perfect housewarming gifts', 'best housewarming gifts 2024', 'house warming gifts new home women', 'house warming gifts new apartment']",2165.188679245283,45413.0,"['house warming gifts new home', 'best housewarming gifts 2024', 'home gifts', 'house warming gifts', 'house gifts']",112.61224489795919,1344.0,"['gifts for bedroom', 'fun home gifts', 'home gifts under 50', 'cute home gifts', 'house warming presents']",55.716981132075475,1195,200000.0,806,15.20754716981132
mom gift,64.48351648351648,1249.0,"['mother in law gifts', 'gifts for mother in law', 'mom christmas gifts', 'cool gifts for a new mom', 'last minute gifts for mother in law']",2861.263736263736,48764.0,"['mom christmas gifts', 'mother in law gifts', 'mom gifts for christmas', 'christmas gift for mom', 'gifts for mother in law']",82.26966292134831,1345.0,"['last minute christmas gifts for mom', 'gifts for moms on amazon', 'chritmas presents for mom', 'new mom christmas gifts', 'for mom christmas gifts']",91.57142857142857,870,100000.0,1724,18.945054945054945
other gift,533.709090909091,23543.0,"['tiktok trend items', 'christmas', '50 dollar yankee swap gifts', 'anthropologie gifts', 'luxury gifts under 50']",13565.2,694231.0,"['christmas', 'tiktok trend items', 'christmas presents', 'christmas gifts for friends', 'vintage gifts']",119.81481481481481,3000.0,"['last minute gift', 'meaning full gifts', 'christmas birthday gifts', 'xmas clearance', 'remembering dad']",51.69090909090909,1808,300000.0,1589,28.89090909090909
wax warmer,1497.008982035928,66650.0,"['voluspa candle', 'volcano candle', 'candle lighter', 'coffee warmer', 'wax warmer']",3694.9131736526947,196445.0,"['candle warmer', 'candles', 'candle', 'wax warmer', 'wax melts']",48.20766773162939,3141.0,"['cozyberry candle warmer', 'cadle warmer', 'candle warmer lam', 'candles mom', 'glass wax melt warmer']",65.24251497005989,2021,200000.0,5400,16.167664670658684
white elephant,578.5909090909091,16310.0,"['white elephant gifts for adults useful', 'what white elephant gifts work well for mixed groups', 'what types of white elephant gifts are most popular', 'white elephant 25 dollars', 'white elephant under 30']",674.2159090909091,32620.0,"['white elephant gifts for adults useful', 'good white elephant gifts for adults', 'practical white elephant gifts', 'white elephant gifts useful', 'nice white elephant gifts for adults']",299.31944444444446,14033.0,"['white+elephant+gifts', 'white elephant 25 dollars', 'useful white elephant gifts under 25', 'white elephant gifts for adults 25 dollars', 'gift sets for white elephant']",24.420454545454547,1095,100000.0,784,8.909090909090908
